#TITLE:Bliss
#ARTIST:Muse
#LANGUAGE:EN
#GENRE:Rock
#CREATOR:hehoe.de
#MP3:Muse - Bliss.mp3
#COVER:Muse - Bliss.jpg
#BPM:256
#GAP:47246
#YOUTUBE:eMqsWc8muj8
#COMMENT:this was very helpful http://www.youtube.com/watch?v=3suTy58hFFM
#KEY:0
: 0 2 60 Ev
: 2 1 60 ery
F 4 4 60  th
: 8 5 60 ing
: 14 8 62  ab
: 22 5 63 out
: 28 5 62  you
: 34 10 60  is
: 46 9 58  how
: 56 10 60  I
F 66 5 60 'd
: 72 6 56  wan
: 78 3 55 na
: 82 18 55  be
- 104
: 106 4 55 Yo
: 110 4 58 ur
: 116 18 58  free
: 134 6 53 dom
: 142 6 55  comes
: 152 14 56  na
: 172 4 55 tur
: 176 4 56 all
: 180 20 55 y
- 217
: 254 4 60 Ev
: 258 1 60 ery
F 260 4 60  th
: 264 5 60 ing
: 270 8 62  ab
: 278 5 63 out
: 284 7 62  you
: 292 10 60  re
: 302 10 58 son
: 312 12 60 ate
F 324 3 60 s
: 328 6 56  hap
: 334 4 55 py
: 338 18 55 ness
- 360
: 362 3 55 Now
: 366 5 58  I
: 372 31 58  won't
: 404 18 56  sett
: 422 17 55 le
: 440 7 56  for
: 448 20 55  less
- 485
F 534 2 76 G
: 536 12 76 i
F 548 1 76 ve
F 550 2 76  m
: 552 52 76 e
- 608
: 610 11 72 all
: 622 10 76  the
: 634 14 79  peace
: 654 7 79  and
: 662 13 84  joy
: 676 11 84  in
: 688 9 84  your
: 698 8 83  mi
: 706 6 80 ~
: 712 32 76 ~nd
- 754
: 758 8 84 U
: 766 4 84 h
: 770 8 82 uh
: 778 12 80 o
: 790 10 79 a
: 800 10 77 o
: 810 20 79 ah
- 864
: 1088 2 60 Ev
: 1090 1 60 ery
F 1092 4 60  th
: 1096 5 60 ing
: 1102 8 62  ab
: 1110 5 63 out
: 1116 5 62  you
: 1122 10 60  pains
: 1134 7 58  my
: 1142 18 60  e
: 1160 6 56 ~
: 1166 4 55 n
: 1170 18 55 vying
- 1192
: 1194 6 55 Yo
: 1200 3 58 ur
: 1204 17 58  soul
: 1222 6 53  can't
: 1230 6 55  hate
: 1240 18 56  a
: 1258 4 55 ~
: 1262 3 56 ny
: 1266 28 55  thing
- 1311
: 1342 4 60 Ev
: 1346 3 60 ery
F 1350 4 60  th
: 1354 5 60 ing
: 1360 8 62  ab
: 1368 5 63 out
: 1374 5 62  you
: 1380 6 62  is
: 1390 9 65  so
: 1400 14 65  ea
: 1414 5 63 sy
: 1420 5 63  to
: 1426 8 62  lo
: 1434 4 63 ~
: 1438 8 62 ve
- 1450
: 1452 3 63 They
: 1456 5 63  're
: 1462 24 62  wa
: 1486 7 62 tching
: 1494 15 60  you
: 1510 9 62  from
: 1520 24 62  abo
: 1544 18 63 ~
: 1562 26 62 ve
- 1598
: 1622 15 76 Give
: 1638 56 76  me
: 1698 11 76  all
: 1710 10 76  the
: 1722 14 79  peace
: 1742 7 79  and
: 1750 13 84  joy
: 1764 11 84  in
: 1776 9 84  your
: 1786 8 83  mi
: 1794 6 80 ~
: 1800 22 76 ~nd
- 1828
: 1830 3 76 I
: 1834 7 76  want
: 1842 3 75  the
: 1846 20 76  peace
: 1870 7 76  and
: 1878 13 76  joy
: 1892 11 77  in
: 1904 9 76  your
: 1914 8 76  mi
: 1922 6 74 ~
: 1928 24 72 ~nd
- 1956
: 1958 3 76 Give
: 1962 7 76  me
: 1970 3 75  the
: 1974 20 76  peace
: 1998 7 76  and
: 2006 13 76  joy
: 2020 11 77  in
: 2032 9 76  your
: 2042 22 76  mind
- 2068
F 2070 12 87 (u
F 2082 8 84 ~
F 2090 12 80 ~
F 2102 10 78 ~
F 2112 10 77 ~
F 2122 28 75 oh)
- 2184
: 2436 1 60 'ry
F 2438 4 60  th
: 2442 5 60 ing
: 2448 8 62  ab
: 2456 5 63 out
: 2462 7 62  you
: 2470 10 60  re
: 2480 10 58 son
: 2490 12 60 ate
F 2502 3 60 s
: 2506 6 56  hap
: 2512 4 55 py
: 2516 14 55 ness
- 2534
: 2536 5 55 Now
: 2542 5 58  I
: 2548 31 58  won't
: 2580 18 56  sett
: 2598 17 55 le
: 2616 7 56  for
: 2624 58 60  less
- 2692
: 2710 21 76 Give
: 2732 55 76  me
: 2788 9 76  all
: 2798 9 76  the
: 2808 14 79  peace
: 2828 7 79  and
: 2836 13 84  joy
: 2850 11 84  in
: 2862 9 84  your
: 2872 8 83  mi
: 2880 6 80 ~
: 2886 22 76 ~nd
- 2915
: 2918 3 76 I
: 2922 7 76  want
: 2930 3 75  the
: 2934 20 76  peace
: 2958 7 76  and
: 2966 13 76  joy
: 2980 11 77  in
: 2992 9 76  your
: 3002 8 76  mi
: 3010 6 74 ~
: 3016 24 72 ~nd
- 3044
: 3046 3 76 give
: 3050 7 76  me
: 3058 3 75  the
: 3062 18 79  peace
: 3084 7 79  and
: 3092 13 84  joy
* 3106 9 84  in
* 3116 9 84  your
* 3126 8 83  mi
* 3134 6 80 ~
* 3140 22 76 ~nd
- 3172
* 3190 16 84 U
* 3206 12 82 ~
* 3218 12 80 ~
* 3230 8 79 h
* 3238 18 77 ah
* 3256 6 75 oh
* 3262 64 79 ah
E
